Parameters: {'n': 120, 'q': 3329, 'k': 1, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 2, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'salsa', 'reduction_factor': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 800, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:48:4', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': True, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 10, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd']}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 226/226 | Mean std_B: 6103.28
- Algo: flatter | Updated 226/226 | Mean std_B: 6090.55
- Algo: flatter | Updated 226/226 | Mean std_B: 6017.70
- Algo: flatter | Updated 226/226 | Mean std_B: 6113.89
- Algo: flatter | Updated 226/226 | Mean std_B: 6020.96
- Algo: flatter | Updated 226/226 | Mean std_B: 6095.99
- Algo: flatter | Updated 226/226 | Mean std_B: 6077.78
- Algo: flatter | Updated 226/226 | Mean std_B: 6059.40
- Algo: flatter | Updated 226/226 | Mean std_B: 6141.99
- Algo: flatter | Updated 226/226 | Mean std_B: 6146.89
- Algo: flatter | Updated 226/226 | Mean std_B: 6124.47
- Algo: flatter | Updated 226/226 | Mean std_B: 6063.19
- Algo: flatter | Updated 226/226 | Mean std_B: 6148.61
- Algo: flatter | Updated 226/226 | Mean std_B: 6177.78
- Algo: flatter | Updated 226/226 | Mean std_B: 6088.60
- Algo: flatter | Updated 226/226 | Mean std_B: 6080.28
- Algo: flatter | Updated 226/226 | Mean std_B: 6049.09
- Algo: flatter | Updated 226/226 | Mean std_B: 6086.63
- Algo: flatter | Updated 226/226 | Mean std_B: 5975.42
- Algo: flatter | Updated 226/226 | Mean std_B: 6072.95
- Algo: flatter | Updated 226/226 | Mean std_B: 6049.49
- Algo: flatter | Updated 226/226 | Mean std_B: 6011.33
- Algo: flatter | Updated 226/226 | Mean std_B: 6014.93
- Algo: flatter | Updated 226/226 | Mean std_B: 6006.20
- Algo: flatter | Updated 226/226 | Mean std_B: 6090.74
- Algo: flatter | Updated 226/226 | Mean std_B: 5990.66
- Algo: flatter | Updated 226/226 | Mean std_B: 6027.64
