Parameters: {'n': 200, 'q': 130769, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 400, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 12, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 342/342 | Mean std_B: 144043.60
- Algo: flatter | Updated 342/342 | Mean std_B: 142205.93
- Algo: flatter | Updated 342/342 | Mean std_B: 142181.87
- Algo: flatter | Updated 342/342 | Mean std_B: 141565.63
- Algo: flatter | Updated 342/342 | Mean std_B: 142474.21
- Algo: flatter | Updated 342/342 | Mean std_B: 140877.63
- Algo: flatter | Updated 342/342 | Mean std_B: 141510.10
- Algo: flatter | Updated 342/342 | Mean std_B: 142633.32
- Algo: flatter | Updated 342/342 | Mean std_B: 139786.56
- Algo: flatter | Updated 342/342 | Mean std_B: 141475.64
- Algo: flatter | Updated 342/342 | Mean std_B: 141680.41
- Algo: flatter | Updated 342/342 | Mean std_B: 141841.99
- Algo: flatter | Updated 342/342 | Mean std_B: 142317.10
- Algo: flatter | Updated 342/342 | Mean std_B: 140959.00
- Algo: flatter | Updated 342/342 | Mean std_B: 141338.33
- Algo: flatter | Updated 342/342 | Mean std_B: 141278.10
- Algo: flatter | Updated 342/342 | Mean std_B: 141549.27
- Algo: flatter | Updated 342/342 | Mean std_B: 141675.07
- Algo: flatter | Updated 342/342 | Mean std_B: 140440.94
- Algo: flatter | Updated 342/342 | Mean std_B: 142248.98
- Algo: flatter | Updated 342/342 | Mean std_B: 140880.49
- Algo: flatter | Updated 342/342 | Mean std_B: 140607.62
- Algo: flatter | Updated 342/342 | Mean std_B: 142036.56
- Algo: flatter | Updated 342/342 | Mean std_B: 141598.44
