Parameters: {'n': 256, 'q': 179067461, 'k': 2, 'secret_type': 'cbd', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 1000, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 12, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 633/633 | Mean std_B: 780745523.36
- Algo: flatter | Updated 632/632 | Mean std_B: 780374332.44
- Algo: flatter | Updated 633/633 | Mean std_B: 779570896.27
- Algo: flatter | Updated 633/633 | Mean std_B: 780407091.91
- Algo: flatter | Updated 633/633 | Mean std_B: 781241434.09
- Algo: flatter | Updated 634/634 | Mean std_B: 779202556.51
- Algo: flatter | Updated 632/632 | Mean std_B: 782123606.02
- Algo: flatter | Updated 635/635 | Mean std_B: 777817816.13
- Algo: flatter | Updated 636/636 | Mean std_B: 777054652.16
- Algo: flatter | Updated 631/631 | Mean std_B: 782652966.05
- Algo: flatter | Updated 637/637 | Mean std_B: 775971160.13
- Algo: flatter | Updated 635/635 | Mean std_B: 777478108.02
- Algo: flatter | Updated 634/634 | Mean std_B: 778447401.50
- Algo: flatter | Updated 635/635 | Mean std_B: 775023200.37
- Algo: flatter | Updated 633/633 | Mean std_B: 778888900.36
- Algo: flatter | Updated 634/634 | Mean std_B: 778923415.14
- Algo: flatter | Updated 634/634 | Mean std_B: 776749894.86
- Algo: flatter | Updated 637/637 | Mean std_B: 774281275.14
- Algo: flatter | Updated 635/635 | Mean std_B: 777968181.15
- Algo: flatter | Updated 635/635 | Mean std_B: 776214785.61
- Algo: flatter | Updated 633/633 | Mean std_B: 779389838.50
- Algo: flatter | Updated 635/635 | Mean std_B: 776059225.38
- Algo: flatter | Updated 634/634 | Mean std_B: 776900828.68
- Algo: flatter | Updated 634/634 | Mean std_B: 778602880.52
- Algo: flatter | Updated 634/634 | Mean std_B: 778068445.36
- Algo: flatter | Updated 634/634 | Mean std_B: 775894125.80
- Algo: flatter | Updated 633/633 | Mean std_B: 779912486.77
- Algo: flatter | Updated 634/634 | Mean std_B: 778865333.21
- Algo: flatter | Updated 636/636 | Mean std_B: 774518320.34
- Algo: flatter | Updated 635/635 | Mean std_B: 777745820.16
- Algo: flatter | Updated 634/634 | Mean std_B: 773428544.33
- Algo: flatter | Updated 637/637 | Mean std_B: 776657660.63
- Algo: flatter | Updated 635/635 | Mean std_B: 774141070.37
- Algo: flatter | Updated 635/635 | Mean std_B: 777155499.02
- Algo: flatter | Updated 636/636 | Mean std_B: 774630092.17
- Algo: flatter | Updated 634/634 | Mean std_B: 780325128.19
- Algo: flatter | Updated 632/632 | Mean std_B: 782106460.65
- Algo: flatter | Updated 635/635 | Mean std_B: 775314020.30
- Algo: flatter | Updated 634/634 | Mean std_B: 777324451.73
- Algo: flatter | Updated 636/636 | Mean std_B: 774709112.54
- Algo: flatter | Updated 635/635 | Mean std_B: 773768633.99
- Algo: flatter | Updated 636/636 | Mean std_B: 776503001.97
- Algo: flatter | Updated 634/634 | Mean std_B: 778541769.70
- Algo: flatter | Updated 636/636 | Mean std_B: 773326315.28
- Algo: flatter | Updated 631/631 | Mean std_B: 782714806.89
- Algo: flatter | Updated 634/634 | Mean std_B: 778412986.98
- Algo: flatter | Updated 636/636 | Mean std_B: 774455815.89
- Algo: flatter | Updated 634/634 | Mean std_B: 778087450.87
- Algo: flatter | Updated 633/633 | Mean std_B: 777686844.56
- Algo: flatter | Updated 633/633 | Mean std_B: 779494834.28
- Algo: flatter | Updated 635/635 | Mean std_B: 779545673.02
- Algo: flatter | Updated 634/634 | Mean std_B: 778161967.88
- Algo: flatter | Updated 634/634 | Mean std_B: 779601669.72
- Algo: flatter | Updated 637/637 | Mean std_B: 775858603.48
- Algo: flatter | Updated 634/634 | Mean std_B: 777609018.89
- Algo: flatter | Updated 633/633 | Mean std_B: 779967189.59
- Algo: flatter | Updated 636/636 | Mean std_B: 774653422.80
- Algo: flatter | Updated 636/636 | Mean std_B: 777384399.11
- Algo: flatter | Updated 635/635 | Mean std_B: 777685255.82
- Algo: flatter | Updated 634/634 | Mean std_B: 776639692.97
- Algo: flatter | Updated 638/638 | Mean std_B: 772583872.37
- Algo: flatter | Updated 634/634 | Mean std_B: 777030166.37
- Algo: flatter | Updated 634/634 | Mean std_B: 776511379.03
Tour 1 | Time: 8490.02s | Mean std_B: 777600595.11 | Reduction Factor: 0.6661 | Prob: 0.0917
- Algo: flatter | Updated 553/635 | Mean std_B: 797881475.34
- Algo: flatter | Updated 542/635 | Mean std_B: 794255580.10
- Algo: flatter | Updated 542/634 | Mean std_B: 799402135.71
- Algo: flatter | Updated 543/635 | Mean std_B: 795313584.13
- Algo: flatter | Updated 547/637 | Mean std_B: 797618768.56
- Algo: flatter | Updated 546/632 | Mean std_B: 800752870.16
- Algo: flatter | Updated 541/636 | Mean std_B: 800408337.01
- Algo: flatter | Updated 546/635 | Mean std_B: 794360831.95
- Algo: flatter | Updated 541/635 | Mean std_B: 793797658.39
- Algo: flatter | Updated 536/632 | Mean std_B: 801663453.33
- Algo: flatter | Updated 536/634 | Mean std_B: 798994320.70
- Algo: flatter | Updated 553/635 | Mean std_B: 795637048.65
- Algo: flatter | Updated 541/633 | Mean std_B: 800682786.21
- Algo: flatter | Updated 536/635 | Mean std_B: 800830217.96
- Algo: flatter | Updated 535/634 | Mean std_B: 799966320.67
- Algo: flatter | Updated 551/635 | Mean std_B: 795243093.84
- Algo: flatter | Updated 543/634 | Mean std_B: 795758587.70
- Algo: flatter | Updated 554/635 | Mean std_B: 796799011.48
- Algo: flatter | Updated 552/636 | Mean std_B: 796720544.03
- Algo: flatter | Updated 545/634 | Mean std_B: 801332869.06
- Algo: flatter | Updated 530/634 | Mean std_B: 797359388.77
- Algo: flatter | Updated 536/636 | Mean std_B: 799783058.42
- Algo: flatter | Updated 542/634 | Mean std_B: 794892977.02
- Algo: flatter | Updated 541/637 | Mean std_B: 794820084.38
- Algo: flatter | Updated 537/636 | Mean std_B: 797647052.83
- Algo: flatter | Updated 544/631 | Mean std_B: 800590742.34
- Algo: flatter | Updated 559/634 | Mean std_B: 801032833.57
- Algo: flatter | Updated 545/634 | Mean std_B: 798238851.49
- Algo: flatter | Updated 546/634 | Mean std_B: 797265476.70
- Algo: flatter | Updated 541/633 | Mean std_B: 801933090.74
- Algo: flatter | Updated 539/634 | Mean std_B: 794504652.30
- Algo: flatter | Updated 543/636 | Mean std_B: 793075325.71
- Algo: flatter | Updated 541/634 | Mean std_B: 799123015.80
- Algo: flatter | Updated 546/636 | Mean std_B: 797975757.67
- Algo: flatter | Updated 542/635 | Mean std_B: 799122286.37
- Algo: flatter | Updated 546/634 | Mean std_B: 799867699.03
- Algo: flatter | Updated 547/634 | Mean std_B: 799705740.81
- Algo: flatter | Updated 532/634 | Mean std_B: 797780065.21
- Algo: flatter | Updated 553/635 | Mean std_B: 793811604.53
- Algo: flatter | Updated 544/632 | Mean std_B: 798409937.92
- Algo: flatter | Updated 540/633 | Mean std_B: 797866549.21
- Algo: flatter | Updated 538/634 | Mean std_B: 799353327.96
- Algo: flatter | Updated 543/637 | Mean std_B: 799179546.03
- Algo: flatter | Updated 555/634 | Mean std_B: 796748871.80
- Algo: flatter | Updated 556/634 | Mean std_B: 794572611.41
- Algo: flatter | Updated 538/636 | Mean std_B: 797173632.93
- Algo: flatter | Updated 545/635 | Mean std_B: 797135807.86
- Algo: flatter | Updated 544/633 | Mean std_B: 801442840.77
- Algo: flatter | Updated 541/638 | Mean std_B: 797913501.09
- Algo: flatter | Updated 553/635 | Mean std_B: 797384328.12
- Algo: flatter | Updated 547/633 | Mean std_B: 798378076.88
- Algo: flatter | Updated 533/635 | Mean std_B: 798351864.08
- Algo: flatter | Updated 545/636 | Mean std_B: 796601867.21
- Algo: flatter | Updated 547/634 | Mean std_B: 801086289.91
- Algo: flatter | Updated 531/637 | Mean std_B: 800351159.79
- Algo: flatter | Updated 550/638 | Mean std_B: 793123302.06
- Algo: flatter | Updated 533/634 | Mean std_B: 797612316.06
- Algo: flatter | Updated 551/632 | Mean std_B: 801424598.22
- Algo: flatter | Updated 545/633 | Mean std_B: 800696162.49
- Algo: flatter | Updated 553/633 | Mean std_B: 800219774.53
- Algo: flatter | Updated 542/633 | Mean std_B: 798416298.94
- Algo: flatter | Updated 545/635 | Mean std_B: 800788055.52
- Algo: flatter | Updated 532/636 | Mean std_B: 796317646.84
Tour 2 | Time: 10471.08s | Mean std_B: 780990167.92 | Reduction Factor: 0.6688 | Prob: 0.0913
- Algo: flatter | Updated 142/632 | Mean std_B: 820648181.78
- Algo: flatter | Updated 136/634 | Mean std_B: 819467779.28
- Algo: flatter | Updated 146/636 | Mean std_B: 815368957.17
- Algo: flatter | Updated 162/632 | Mean std_B: 815658231.23
- Algo: flatter | Updated 116/633 | Mean std_B: 822760778.74
- Algo: flatter | Updated 123/635 | Mean std_B: 814216564.60
- Algo: flatter | Updated 92/634 | Mean std_B: 829595309.29
- Algo: flatter | Updated 124/634 | Mean std_B: 819077971.28
- Algo: flatter | Updated 120/637 | Mean std_B: 821636564.61
- Algo: flatter | Updated 109/634 | Mean std_B: 822312565.87
- Algo: flatter | Updated 172/633 | Mean std_B: 813074624.23
- Algo: flatter | Updated 156/635 | Mean std_B: 813104517.78
- Algo: flatter | Updated 161/636 | Mean std_B: 812859408.26
- Algo: flatter | Updated 133/635 | Mean std_B: 816316997.10
- Algo: flatter | Updated 185/634 | Mean std_B: 810329653.08
- Algo: flatter | Updated 126/633 | Mean std_B: 822738688.51
- Algo: flatter | Updated 136/634 | Mean std_B: 819892015.48
- Algo: flatter | Updated 168/635 | Mean std_B: 809571515.03
- Algo: flatter | Updated 115/633 | Mean std_B: 822717884.12
- Algo: flatter | Updated 150/635 | Mean std_B: 815260071.97
- Algo: flatter | Updated 144/635 | Mean std_B: 814991641.40
- Algo: flatter | Updated 155/634 | Mean std_B: 817389159.87
- Algo: flatter | Updated 136/636 | Mean std_B: 816785307.10
- Algo: flatter | Updated 153/636 | Mean std_B: 817194721.30
- Algo: flatter | Updated 158/637 | Mean std_B: 815861681.18
- Algo: flatter | Updated 178/633 | Mean std_B: 813292501.23
- Algo: flatter | Updated 141/634 | Mean std_B: 818102992.56
- Algo: flatter | Updated 156/631 | Mean std_B: 818391523.69
- Algo: flatter | Updated 164/634 | Mean std_B: 815598275.18
- Algo: flatter | Updated 101/632 | Mean std_B: 828150128.51
- Algo: flatter | Updated 143/633 | Mean std_B: 822096436.62
- Algo: flatter | Updated 146/636 | Mean std_B: 815772635.12
- Algo: flatter | Updated 161/634 | Mean std_B: 812169169.36
- Algo: flatter | Updated 122/636 | Mean std_B: 822651469.85
- Algo: flatter | Updated 182/633 | Mean std_B: 811553371.12
- Algo: flatter | Updated 118/634 | Mean std_B: 821770545.49
- Algo: flatter | Updated 117/634 | Mean std_B: 821612092.33
- Algo: flatter | Updated 96/637 | Mean std_B: 821490357.56
- Algo: flatter | Updated 132/635 | Mean std_B: 820230834.55
- Algo: flatter | Updated 160/632 | Mean std_B: 818977503.33
- Algo: flatter | Updated 120/635 | Mean std_B: 818739918.83
- Algo: flatter | Updated 151/637 | Mean std_B: 809423862.08
- Algo: flatter | Updated 169/636 | Mean std_B: 807535025.52
- Algo: flatter | Updated 103/636 | Mean std_B: 822414032.47
- Algo: flatter | Updated 117/634 | Mean std_B: 817951904.34
- Algo: flatter | Updated 128/635 | Mean std_B: 819589831.14
- Algo: flatter | Updated 118/635 | Mean std_B: 821611332.43
- Algo: flatter | Updated 133/634 | Mean std_B: 818787029.64
- Algo: flatter | Updated 155/635 | Mean std_B: 811969531.95
- Algo: flatter | Updated 168/633 | Mean std_B: 815122120.10
- Algo: flatter | Updated 112/635 | Mean std_B: 821606001.15
- Algo: flatter | Updated 169/634 | Mean std_B: 810504020.95
- Algo: flatter | Updated 140/635 | Mean std_B: 816530888.84
- Algo: flatter | Updated 116/634 | Mean std_B: 823941107.37
- Algo: flatter | Updated 163/634 | Mean std_B: 813084413.76
