Parameters: {'n': 350, 'q': 3831165139, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 800, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 12, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 745/745 | Mean std_B: 1326139675.88
- Algo: flatter | Updated 745/745 | Mean std_B: 1301351632.65
- Algo: flatter | Updated 745/745 | Mean std_B: 1299340105.24
- Algo: flatter | Updated 745/745 | Mean std_B: 1347035157.43
- Algo: flatter | Updated 745/745 | Mean std_B: 1333784598.61
- Algo: flatter | Updated 745/745 | Mean std_B: 1354261220.61
- Algo: flatter | Updated 745/745 | Mean std_B: 1298822909.47
- Algo: flatter | Updated 745/745 | Mean std_B: 1293163565.30
- Algo: flatter | Updated 745/745 | Mean std_B: 1314885850.99
- Algo: flatter | Updated 745/745 | Mean std_B: 1256984854.86
- Algo: flatter | Updated 745/745 | Mean std_B: 1271900516.37
- Algo: flatter | Updated 745/745 | Mean std_B: 1268740638.16
- Algo: flatter | Updated 745/745 | Mean std_B: 1216257795.21
- Algo: flatter | Updated 745/745 | Mean std_B: 1274481734.11
- Algo: flatter | Updated 745/745 | Mean std_B: 1368469025.06
- Algo: flatter | Updated 745/745 | Mean std_B: 1275970097.13
- Algo: flatter | Updated 745/745 | Mean std_B: 1303745867.54
- Algo: flatter | Updated 745/745 | Mean std_B: 1266372773.31
- Algo: flatter | Updated 745/745 | Mean std_B: 1291718883.75
- Algo: flatter | Updated 745/745 | Mean std_B: 1251588817.91
- Algo: flatter | Updated 745/745 | Mean std_B: 1229858386.70
- Algo: flatter | Updated 745/745 | Mean std_B: 1320892698.03
- Algo: flatter | Updated 745/745 | Mean std_B: 1245346231.72
- Algo: flatter | Updated 745/745 | Mean std_B: 1246448163.50
- Algo: flatter | Updated 745/745 | Mean std_B: 1306561817.92
- Algo: flatter | Updated 745/745 | Mean std_B: 1261754492.49
- Algo: flatter | Updated 745/745 | Mean std_B: 1271954187.61
- Algo: flatter | Updated 745/745 | Mean std_B: 1336359433.03
- Algo: flatter | Updated 745/745 | Mean std_B: 1262726475.93
- Algo: flatter | Updated 745/745 | Mean std_B: 1257377730.72
- Algo: flatter | Updated 745/745 | Mean std_B: 1258501045.64
- Algo: flatter | Updated 745/745 | Mean std_B: 1217230151.56
- Algo: flatter | Updated 745/745 | Mean std_B: 1235428569.02
- Algo: flatter | Updated 745/745 | Mean std_B: 1260482958.32
- Algo: flatter | Updated 745/745 | Mean std_B: 1274573192.42
- Algo: flatter | Updated 745/745 | Mean std_B: 1290318979.68
- Algo: flatter | Updated 745/745 | Mean std_B: 1285633937.55
- Algo: flatter | Updated 745/745 | Mean std_B: 1232928712.89
- Algo: flatter | Updated 745/745 | Mean std_B: 1252551696.51
- Algo: flatter | Updated 745/745 | Mean std_B: 1289795193.15
- Algo: flatter | Updated 745/745 | Mean std_B: 1236654113.64
- Algo: flatter | Updated 745/745 | Mean std_B: 1243636235.98
- Algo: flatter | Updated 745/745 | Mean std_B: 1272152892.60
- Algo: flatter | Updated 745/745 | Mean std_B: 1225102305.54
- Algo: flatter | Updated 745/745 | Mean std_B: 1239953283.91
- Algo: flatter | Updated 745/745 | Mean std_B: 1236711349.30
- Algo: flatter | Updated 745/745 | Mean std_B: 1226863742.19
- Algo: flatter | Updated 745/745 | Mean std_B: 1238508800.27
- Algo: flatter | Updated 745/745 | Mean std_B: 1242300271.10
- Algo: flatter | Updated 745/745 | Mean std_B: 1279535441.82
- Algo: flatter | Updated 745/745 | Mean std_B: 1213070402.09
- Algo: flatter | Updated 745/745 | Mean std_B: 1246866097.39
- Algo: flatter | Updated 745/745 | Mean std_B: 1226731747.34
- Algo: flatter | Updated 745/745 | Mean std_B: 1289892919.38
- Algo: flatter | Updated 745/745 | Mean std_B: 1266227566.75
- Algo: flatter | Updated 745/745 | Mean std_B: 1237131701.67
- Algo: flatter | Updated 745/745 | Mean std_B: 1228743208.46
- Algo: flatter | Updated 745/745 | Mean std_B: 1396783529.64
- Algo: flatter | Updated 745/745 | Mean std_B: 1226506323.97
- Algo: flatter | Updated 745/745 | Mean std_B: 1236006025.33
- Algo: flatter | Updated 745/745 | Mean std_B: 1252927673.60
- Algo: flatter | Updated 745/745 | Mean std_B: 1255718978.98
- Algo: flatter | Updated 745/745 | Mean std_B: 1199295511.56
/d/hpc/home/cb17769/ML-attack-on-MLWE/src/ml_attack/utils.py:189: RuntimeWarning: invalid value encountered in sqrt
  return mean_b, var_b, np.sqrt(var_b)
Tour 1 | Time: 32668.90s | Mean std_B: nan | Reduction Factor: 0.1086 | Prob: nan
- Algo: flatter | Updated 103/745 | Mean std_B: 1802112525.89
- Algo: flatter | Updated 140/745 | Mean std_B: 2548296050.72
- Algo: flatter | Updated 82/745 | Mean std_B: 1584025145.53
- Algo: flatter | Updated 112/745 | Mean std_B: 1791191542.26
- Algo: flatter | Updated 129/745 | Mean std_B: 1835224955.59
- Algo: flatter | Updated 294/745 | Mean std_B: 1733828456.01
- Algo: flatter | Updated 184/745 | Mean std_B: 1937746150.25
- Algo: flatter | Updated 127/745 | Mean std_B: 2079091320.49
- Algo: flatter | Updated 103/745 | Mean std_B: 1605050213.84
- Algo: flatter | Updated 118/745 | Mean std_B: 1783415212.38
- Algo: flatter | Updated 183/745 | Mean std_B: 2950738523.44
- Algo: flatter | Updated 158/745 | Mean std_B: 2295053496.65
- Algo: flatter | Updated 133/745 | Mean std_B: 1948713350.20
- Algo: flatter | Updated 181/745 | Mean std_B: 2549570705.99
- Algo: flatter | Updated 86/745 | Mean std_B: 1769845055.03
- Algo: flatter | Updated 175/745 | Mean std_B: 2170638660.20
- Algo: flatter | Updated 171/745 | Mean std_B: 2667492551.74
- Algo: flatter | Updated 108/745 | Mean std_B: 1629409823.85
- Algo: flatter | Updated 129/745 | Mean std_B: 2173167623.50
- Algo: flatter | Updated 86/745 | Mean std_B: 1784154902.09
- Algo: flatter | Updated 150/745 | Mean std_B: 2124903263.99
- Algo: flatter | Updated 166/745 | Mean std_B: 8057284606.77
- Algo: flatter | Updated 161/745 | Mean std_B: 1990514036.29
- Algo: flatter | Updated 92/745 | Mean std_B: 1555927305.87
- Algo: flatter | Updated 100/745 | Mean std_B: 1659176852.13
- Algo: flatter | Updated 143/745 | Mean std_B: 1874939425.51
- Algo: flatter | Updated 139/745 | Mean std_B: 1574510724.31
- Algo: flatter | Updated 158/745 | Mean std_B: 2053776838.64
- Algo: flatter | Updated 165/745 | Mean std_B: 2346374138.25
- Algo: flatter | Updated 161/745 | Mean std_B: 2732107707.60
- Algo: flatter | Updated 163/745 | Mean std_B: 3176289569.63
- Algo: flatter | Updated 195/745 | Mean std_B: 6927965633.43
- Algo: flatter | Updated 110/745 | Mean std_B: 1755458988.81
- Algo: flatter | Updated 157/745 | Mean std_B: 2441348384.07
- Algo: flatter | Updated 154/745 | Mean std_B: 2030324373.44
- Algo: flatter | Updated 256/745 | Mean std_B: 1734264251.62
- Algo: flatter | Updated 182/745 | Mean std_B: 9568373789.86
- Algo: flatter | Updated 144/745 | Mean std_B: 2067293890.94
- Algo: flatter | Updated 195/745 | Mean std_B: 25438112464.74
- Algo: flatter | Updated 160/745 | Mean std_B: 6242816846.69
- Algo: flatter | Updated 166/745 | Mean std_B: 4170246100.42
- Algo: flatter | Updated 163/745 | Mean std_B: 2544108036.09
- Algo: flatter | Updated 201/745 | Mean std_B: 3279511924.88
- Algo: flatter | Updated 138/745 | Mean std_B: 2404936219.83
- Algo: flatter | Updated 204/745 | Mean std_B: 2124021410.35
- Algo: flatter | Updated 131/745 | Mean std_B: 1675350593.62
- Algo: flatter | Updated 89/745 | Mean std_B: 1627011796.75
- Algo: flatter | Updated 161/745 | Mean std_B: 3227487711.70
- Algo: flatter | Updated 104/745 | Mean std_B: 1529945384.57
- Algo: flatter | Updated 105/745 | Mean std_B: 2019743327.95
- Algo: flatter | Updated 142/745 | Mean std_B: 2211570657.90
- Algo: flatter | Updated 147/745 | Mean std_B: 2163569645.48
- Algo: flatter | Updated 125/745 | Mean std_B: 1845009409.29
- Algo: flatter | Updated 121/745 | Mean std_B: 2227914436.75
- Algo: flatter | Updated 202/745 | Mean std_B: 7387300862.67
- Algo: flatter | Updated 143/745 | Mean std_B: 2181243822.17
- Algo: flatter | Updated 149/745 | Mean std_B: 2092518125.31
- Algo: flatter | Updated 96/745 | Mean std_B: 1893006817.30
- Algo: flatter | Updated 131/745 | Mean std_B: 1705639904.25
- Algo: flatter | Updated 129/745 | Mean std_B: 1708745152.06
- Algo: flatter | Updated 168/745 | Mean std_B: 2162095523.60
- Algo: flatter | Updated 95/745 | Mean std_B: 2018030930.09
- Algo: flatter | Updated 166/745 | Mean std_B: 4928678815.05
Tour 2 | Time: 33906.55s | Mean std_B: nan | Reduction Factor: 0.1085 | Prob: nan
- Algo: flatter | Updated 42/745 | Mean std_B: 2146967477.99
- Algo: flatter | Updated 7/745 | Mean std_B: 3385807890.48
- Algo: flatter | Updated 21/745 | Mean std_B: 2656505132.11
- Algo: flatter | Updated 27/745 | Mean std_B: 2072564411.35
- Algo: flatter | Updated 44/745 | Mean std_B: 1811754893.16
- Algo: flatter | Updated 13/745 | Mean std_B: 2955460761.60
- Algo: flatter | Updated 15/745 | Mean std_B: 2170240660.09
- Algo: flatter | Updated 15/745 | Mean std_B: 4079852966.22
- Algo: flatter | Updated 54/745 | Mean std_B: 1826100252.17
- Algo: flatter | Updated 4/745 | Mean std_B: 9195264651.36
- Algo: flatter | Updated 43/745 | Mean std_B: 2029695136.69
- Algo: flatter | Updated 16/745 | Mean std_B: 3429379740.25
- Algo: flatter | Updated 29/745 | Mean std_B: 2366585695.12
- Algo: flatter | Updated 54/745 | Mean std_B: 2235751479.49
- Algo: flatter | Updated 7/745 | Mean std_B: 3487090114.93
- Algo: flatter | Updated 13/745 | Mean std_B: 3108719804.84
- Algo: flatter | Updated 26/745 | Mean std_B: 2116070015.30
- Algo: flatter | Updated 40/745 | Mean std_B: 2279376905.25
- Algo: flatter | Updated 63/745 | Mean std_B: 2379996194.65
- Algo: flatter | Updated 19/745 | Mean std_B: 2126171400.34
- Algo: flatter | Updated 26/745 | Mean std_B: 1912679634.01
- Algo: flatter | Updated 41/745 | Mean std_B: 2193926540.62
- Algo: flatter | Updated 88/745 | Mean std_B: 2284939476.18
- Algo: flatter | Updated 54/745 | Mean std_B: 1900333962.89
- Algo: flatter | Updated 76/745 | Mean std_B: 2465100029.35
- Algo: flatter | Updated 17/745 | Mean std_B: 2861899511.03
- Algo: flatter | Updated 40/745 | Mean std_B: 2090230092.25
- Algo: flatter | Updated 41/745 | Mean std_B: 1929647707.71
- Algo: flatter | Updated 34/745 | Mean std_B: 1883161561.62
- Algo: flatter | Updated 29/745 | Mean std_B: 1873238390.83
- Algo: flatter | Updated 26/745 | Mean std_B: 2120393939.26
- Algo: flatter | Updated 58/745 | Mean std_B: 1765245846.64
- Algo: flatter | Updated 22/745 | Mean std_B: 2645966944.54
- Algo: flatter | Updated 0/745 | Mean std_B: 18812982134.34
- Algo: flatter | Updated 12/745 | Mean std_B: 2676495757.73
- Algo: flatter | Updated 47/745 | Mean std_B: 1924350469.10
- Algo: flatter | Updated 29/745 | Mean std_B: 1722280632.04
- Algo: flatter | Updated 29/745 | Mean std_B: 2207193928.31
- Algo: flatter | Updated 57/745 | Mean std_B: 2421848638.04
- Algo: flatter | Updated 14/745 | Mean std_B: 2064088631.02
- Algo: flatter | Updated 20/745 | Mean std_B: 2196913741.54
- Algo: flatter | Updated 4/745 | Mean std_B: 5333828690.05
- Algo: flatter | Updated 40/745 | Mean std_B: 2083859500.88
- Algo: flatter | Updated 17/745 | Mean std_B: 2395261568.78
- Algo: flatter | Updated 22/745 | Mean std_B: 2241261038.44
- Algo: flatter | Updated 39/745 | Mean std_B: 1754714703.91
- Algo: flatter | Updated 24/745 | Mean std_B: 2243929814.76
- Algo: flatter | Updated 7/745 | Mean std_B: 7465597151.07
- Algo: flatter | Updated 27/745 | Mean std_B: 2595820204.50
- Algo: flatter | Updated 66/745 | Mean std_B: 2093650590.63
- Algo: flatter | Updated 12/745 | Mean std_B: 2496153723.13
- Algo: flatter | Updated 8/745 | Mean std_B: 7190954722.79
- Algo: flatter | Updated 9/745 | Mean std_B: 3626290533.55
- Algo: flatter | Updated 30/745 | Mean std_B: 1919726077.49
- Algo: flatter | Updated 1/745 | Mean std_B: 14003953670.70
- Algo: flatter | Updated 57/745 | Mean std_B: 2095298963.37
- Algo: flatter | Updated 30/745 | Mean std_B: 2290709112.46
- Algo: flatter | Updated 48/745 | Mean std_B: 1927792880.99
- Algo: flatter | Updated 42/745 | Mean std_B: 1948550495.67
- Algo: flatter | Updated 7/745 | Mean std_B: 3965614353.39
- Algo: flatter | Updated 41/745 | Mean std_B: 1889676787.99
- Algo: flatter | Updated 9/745 | Mean std_B: 4341614149.57
- Algo: flatter | Updated 13/745 | Mean std_B: 2309693104.01
Tour 3 | Time: 35615.93s | Mean std_B: 1257189171.58 | Reduction Factor: 0.1076 | Prob: 0.8724
- Algo: flatter | Updated 42/745 | Mean std_B: 2119321998.75
- Algo: flatter | Updated 29/745 | Mean std_B: 2038450630.66
- Algo: flatter | Updated 20/745 | Mean std_B: 2332610114.78
- Algo: flatter | Updated 20/745 | Mean std_B: 1935317790.09
- Algo: flatter | Updated 8/745 | Mean std_B: 2641343431.95
- Algo: flatter | Updated 21/745 | Mean std_B: 2085618245.30
- Algo: flatter | Updated 26/745 | Mean std_B: 2108824749.68
- Algo: flatter | Updated 34/745 | Mean std_B: 2057552944.96
- Algo: flatter | Updated 23/745 | Mean std_B: 2970791089.92
- Algo: flatter | Updated 19/745 | Mean std_B: 2109343546.38
- Algo: flatter | Updated 29/745 | Mean std_B: 1977596732.29
- Algo: flatter | Updated 21/745 | Mean std_B: 2886389030.05
- Algo: flatter | Updated 65/745 | Mean std_B: 1828786183.20
- Algo: flatter | Updated 39/745 | Mean std_B: 1849010208.38
- Algo: flatter | Updated 37/745 | Mean std_B: 1993555704.26
- Algo: flatter | Updated 39/745 | Mean std_B: 1940427975.35
- Algo: flatter | Updated 24/745 | Mean std_B: 2681088400.14
- Algo: flatter | Updated 41/745 | Mean std_B: 1940772334.19
- Algo: flatter | Updated 35/745 | Mean std_B: 1998071567.90
- Algo: flatter | Updated 23/745 | Mean std_B: 1860693841.27
- Algo: flatter | Updated 40/745 | Mean std_B: 1904110208.88
- Algo: flatter | Updated 9/745 | Mean std_B: 2844468423.31
- Algo: flatter | Updated 40/745 | Mean std_B: 1839888714.13
- Algo: flatter | Updated 24/745 | Mean std_B: 2664902241.99
- Algo: flatter | Updated 39/745 | Mean std_B: 1812038331.35
- Algo: flatter | Updated 29/745 | Mean std_B: 2014257286.21
- Algo: flatter | Updated 25/745 | Mean std_B: 2149385739.00
- Algo: flatter | Updated 12/745 | Mean std_B: 2413498978.40
- Algo: flatter | Updated 31/745 | Mean std_B: 2099277410.07
- Algo: flatter | Updated 22/745 | Mean std_B: 2519061925.17
- Algo: flatter | Updated 27/745 | Mean std_B: 2047505862.75
- Algo: flatter | Updated 38/745 | Mean std_B: 1812297226.29
- Algo: flatter | Updated 32/745 | Mean std_B: 2094287501.91
- Algo: flatter | Updated 49/745 | Mean std_B: 2040288245.37
- Algo: flatter | Updated 19/745 | Mean std_B: 2341472788.34
- Algo: flatter | Updated 23/745 | Mean std_B: 2409705722.29
- Algo: flatter | Updated 4/745 | Mean std_B: 4037268879.39
- Algo: flatter | Updated 21/745 | Mean std_B: 2027765246.25
- Algo: flatter | Updated 11/745 | Mean std_B: 2657609676.75
- Algo: flatter | Updated 46/745 | Mean std_B: 2056346031.13
- Algo: flatter | Updated 5/745 | Mean std_B: 3635713358.72
- Algo: flatter | Updated 4/745 | Mean std_B: 7559000585.01
- Algo: flatter | Updated 34/745 | Mean std_B: 1942369825.83
- Algo: flatter | Updated 44/745 | Mean std_B: 1941075973.36
- Algo: flatter | Updated 33/745 | Mean std_B: 2063142291.61
- Algo: flatter | Updated 29/745 | Mean std_B: 2021690110.31
- Algo: flatter | Updated 10/745 | Mean std_B: 3601128323.90
- Algo: flatter | Updated 44/745 | Mean std_B: 1923142874.44
- Algo: flatter | Updated 19/745 | Mean std_B: 2409417087.71
- Algo: flatter | Updated 33/745 | Mean std_B: 1829858450.00
- Algo: flatter | Updated 30/745 | Mean std_B: 2124933793.74
- Algo: flatter | Updated 21/745 | Mean std_B: 2115895874.29
- Algo: flatter | Updated 9/745 | Mean std_B: 2433916167.71
- Algo: flatter | Updated 13/745 | Mean std_B: 2817387425.24
- Algo: flatter | Updated 27/745 | Mean std_B: 2897687618.39
- Algo: flatter | Updated 0/745 | Mean std_B: 5575308340.01
- Algo: flatter | Updated 11/745 | Mean std_B: 2789406401.06
- Algo: flatter | Updated 61/745 | Mean std_B: 2057091564.26
- Algo: flatter | Updated 1/745 | Mean std_B: 10497128388.61
- Algo: flatter | Updated 26/745 | Mean std_B: 2815148802.46
- Algo: flatter | Updated 27/745 | Mean std_B: 2683878939.24
- Algo: flatter | Updated 17/745 | Mean std_B: 2652497767.09
- Algo: flatter | Updated 24/745 | Mean std_B: 2348146514.72
Tour 4 | Time: 37879.73s | Mean std_B: 1251321218.41 | Reduction Factor: 0.1071 | Prob: 0.8742
- Algo: bkz2.0_20 | Updated 16/745 | Mean std_B: 2323942071.30
