Parameters: {'n': 50, 'q': 3329, 'k': 3, 'secret_type': 'binary', 'eta': 3, 'gaussian_std': 2, 'hw': -1, 'error_type': 'cbd', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_factor': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 500, 'lookback': 3, 'warmup_steps': 10, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:48:4', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 4, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': True, 'tol': 0.0001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 1, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['cbd']}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 252/252 | Mean std_B: 3246.14
- Algo: flatter | Updated 252/252 | Mean std_B: 3280.25
- Algo: flatter | Updated 252/252 | Mean std_B: 3284.68
- Algo: flatter | Updated 252/252 | Mean std_B: 3251.37
- Algo: flatter | Updated 252/252 | Mean std_B: 3259.96
- Algo: flatter | Updated 252/252 | Mean std_B: 3226.58
- Algo: flatter | Updated 252/252 | Mean std_B: 3192.03
- Algo: flatter | Updated 252/252 | Mean std_B: 3268.26
- Algo: flatter | Updated 252/252 | Mean std_B: 3230.09
- Algo: flatter | Updated 252/252 | Mean std_B: 3225.23
- Algo: flatter | Updated 252/252 | Mean std_B: 3199.01
- Algo: flatter | Updated 252/252 | Mean std_B: 3204.57
- Algo: flatter | Updated 252/252 | Mean std_B: 3218.11
- Algo: flatter | Updated 252/252 | Mean std_B: 3224.71
- Algo: flatter | Updated 252/252 | Mean std_B: 3246.22
- Algo: flatter | Updated 252/252 | Mean std_B: 3172.16
- Algo: flatter | Updated 252/252 | Mean std_B: 3190.30
- Algo: flatter | Updated 252/252 | Mean std_B: 3216.84
- Algo: flatter | Updated 252/252 | Mean std_B: 3203.85
- Algo: flatter | Updated 252/252 | Mean std_B: 3208.00
- Algo: flatter | Updated 252/252 | Mean std_B: 3210.45
- Algo: flatter | Updated 252/252 | Mean std_B: 3188.30
- Algo: flatter | Updated 252/252 | Mean std_B: 3224.82
- Algo: flatter | Updated 252/252 | Mean std_B: 3216.44
- Algo: flatter | Updated 252/252 | Mean std_B: 3234.20
- Algo: flatter | Updated 252/252 | Mean std_B: 3217.52
- Algo: flatter | Updated 252/252 | Mean std_B: 3232.78
- Algo: flatter | Updated 252/252 | Mean std_B: 3192.20
- Algo: flatter | Updated 252/252 | Mean std_B: 3225.59
- Algo: flatter | Updated 252/252 | Mean std_B: 3219.25
- Algo: flatter | Updated 252/252 | Mean std_B: 3211.28
- Algo: flatter | Updated 252/252 | Mean std_B: 3185.89
- Algo: flatter | Updated 252/252 | Mean std_B: 3183.90
- Algo: flatter | Updated 252/252 | Mean std_B: 3196.31
- Algo: flatter | Updated 252/252 | Mean std_B: 3192.63
- Algo: flatter | Updated 252/252 | Mean std_B: 3184.18
- Algo: flatter | Updated 252/252 | Mean std_B: 3212.58
- Algo: flatter | Updated 252/252 | Mean std_B: 3212.65
- Algo: flatter | Updated 252/252 | Mean std_B: 3217.51
- Algo: flatter | Updated 252/252 | Mean std_B: 3200.20
- Algo: flatter | Updated 252/252 | Mean std_B: 3197.13
- Algo: flatter | Updated 252/252 | Mean std_B: 3190.56
- Algo: flatter | Updated 252/252 | Mean std_B: 3209.96
- Algo: flatter | Updated 252/252 | Mean std_B: 3216.86
- Algo: flatter | Updated 252/252 | Mean std_B: 3206.45
- Algo: flatter | Updated 252/252 | Mean std_B: 3198.38
- Algo: flatter | Updated 252/252 | Mean std_B: 3213.50
- Algo: flatter | Updated 252/252 | Mean std_B: 3239.11
- Algo: flatter | Updated 252/252 | Mean std_B: 3183.70
- Algo: flatter | Updated 252/252 | Mean std_B: 3205.58
- Algo: flatter | Updated 252/252 | Mean std_B: 3174.13
- Algo: flatter | Updated 252/252 | Mean std_B: 3184.55
- Algo: flatter | Updated 252/252 | Mean std_B: 3245.89
- Algo: flatter | Updated 252/252 | Mean std_B: 3196.74
- Algo: flatter | Updated 252/252 | Mean std_B: 3193.00
- Algo: flatter | Updated 252/252 | Mean std_B: 3202.56
- Algo: flatter | Updated 252/252 | Mean std_B: 3207.80
- Algo: flatter | Updated 252/252 | Mean std_B: 3181.20
- Algo: flatter | Updated 252/252 | Mean std_B: 3189.58
- Algo: flatter | Updated 252/252 | Mean std_B: 3207.73
- Algo: flatter | Updated 252/252 | Mean std_B: 3192.18
- Algo: flatter | Updated 252/252 | Mean std_B: 3170.21
- Algo: flatter | Updated 252/252 | Mean std_B: 3190.43
Tour 1 | Time: 298.23s | Mean std_B: 3211.18 | Reduction Factor: 0.5314
- Algo: flatter | Updated 241/252 | Mean std_B: 3398.61
- Algo: flatter | Updated 242/252 | Mean std_B: 3433.88
- Algo: flatter | Updated 242/252 | Mean std_B: 3419.65
- Algo: flatter | Updated 229/252 | Mean std_B: 3412.32
- Algo: flatter | Updated 239/252 | Mean std_B: 3391.51
- Algo: flatter | Updated 242/252 | Mean std_B: 3403.53
- Algo: flatter | Updated 213/252 | Mean std_B: 3342.90
- Algo: flatter | Updated 210/252 | Mean std_B: 3437.37
- Algo: flatter | Updated 240/252 | Mean std_B: 3399.18
- Algo: flatter | Updated 218/252 | Mean std_B: 3402.27
- Algo: flatter | Updated 220/252 | Mean std_B: 3469.02
- Algo: flatter | Updated 227/252 | Mean std_B: 3387.86
- Algo: flatter | Updated 243/252 | Mean std_B: 3477.15
- Algo: flatter | Updated 218/252 | Mean std_B: 3388.73
- Algo: flatter | Updated 238/252 | Mean std_B: 3426.58
- Algo: flatter | Updated 246/252 | Mean std_B: 3422.37
- Algo: flatter | Updated 241/252 | Mean std_B: 3436.87
- Algo: flatter | Updated 241/252 | Mean std_B: 3356.93
- Algo: flatter | Updated 241/252 | Mean std_B: 3408.47
- Algo: flatter | Updated 240/252 | Mean std_B: 3361.94
- Algo: flatter | Updated 225/252 | Mean std_B: 3414.52
- Algo: flatter | Updated 244/252 | Mean std_B: 3445.17
- Algo: flatter | Updated 240/252 | Mean std_B: 3382.42
- Algo: flatter | Updated 205/252 | Mean std_B: 3403.64
- Algo: flatter | Updated 234/252 | Mean std_B: 3416.60
- Algo: flatter | Updated 239/252 | Mean std_B: 3433.92
- Algo: flatter | Updated 241/252 | Mean std_B: 3419.19
- Algo: flatter | Updated 246/252 | Mean std_B: 3495.12
- Algo: flatter | Updated 219/252 | Mean std_B: 3375.42
- Algo: flatter | Updated 239/252 | Mean std_B: 3419.21
- Algo: flatter | Updated 237/252 | Mean std_B: 3363.36
- Algo: flatter | Updated 238/252 | Mean std_B: 3425.88
- Algo: flatter | Updated 241/252 | Mean std_B: 3466.07
- Algo: flatter | Updated 239/252 | Mean std_B: 3376.49
- Algo: flatter | Updated 223/252 | Mean std_B: 3380.94
- Algo: flatter | Updated 238/252 | Mean std_B: 3406.52
- Algo: flatter | Updated 228/252 | Mean std_B: 3360.55
- Algo: flatter | Updated 242/252 | Mean std_B: 3445.29
- Algo: flatter | Updated 247/252 | Mean std_B: 3467.84
- Algo: flatter | Updated 240/252 | Mean std_B: 3357.59
- Algo: flatter | Updated 232/252 | Mean std_B: 3388.75
- Algo: flatter | Updated 244/252 | Mean std_B: 3395.57
- Algo: flatter | Updated 242/252 | Mean std_B: 3444.66
- Algo: flatter | Updated 239/252 | Mean std_B: 3441.42
- Algo: flatter | Updated 242/252 | Mean std_B: 3409.90
- Algo: flatter | Updated 242/252 | Mean std_B: 3395.45
- Algo: flatter | Updated 245/252 | Mean std_B: 3395.82
- Algo: flatter | Updated 240/252 | Mean std_B: 3455.65
- Algo: flatter | Updated 245/252 | Mean std_B: 3402.99
- Algo: flatter | Updated 238/252 | Mean std_B: 3396.89
- Algo: flatter | Updated 243/252 | Mean std_B: 3460.14
- Algo: flatter | Updated 243/252 | Mean std_B: 3521.88
- Algo: flatter | Updated 244/252 | Mean std_B: 3474.71
- Algo: flatter | Updated 240/252 | Mean std_B: 3492.15
- Algo: flatter | Updated 240/252 | Mean std_B: 3395.74
- Algo: flatter | Updated 225/252 | Mean std_B: 3414.38
- Algo: flatter | Updated 240/252 | Mean std_B: 3416.26
- Algo: flatter | Updated 240/252 | Mean std_B: 3364.57
- Algo: flatter | Updated 236/252 | Mean std_B: 3403.92
- Algo: flatter | Updated 245/252 | Mean std_B: 3430.04
- Algo: flatter | Updated 247/252 | Mean std_B: 3464.94
- Algo: flatter | Updated 245/252 | Mean std_B: 3368.85
- Algo: flatter | Updated 246/252 | Mean std_B: 3357.28
Tour 2 | Time: 317.06s | Mean std_B: 3323.49 | Reduction Factor: 0.5461
- Algo: flatter | Updated 149/252 | Mean std_B: 3390.60
- Algo: flatter | Updated 125/252 | Mean std_B: 3444.83
- Algo: flatter | Updated 132/252 | Mean std_B: 3393.01
- Algo: flatter | Updated 132/252 | Mean std_B: 3383.11
- Algo: flatter | Updated 137/252 | Mean std_B: 3425.00
- Algo: flatter | Updated 150/252 | Mean std_B: 3472.79
- Algo: flatter | Updated 156/252 | Mean std_B: 3422.25
- Algo: flatter | Updated 160/252 | Mean std_B: 3374.39
- Algo: flatter | Updated 138/252 | Mean std_B: 3432.25
- Algo: flatter | Updated 146/252 | Mean std_B: 3432.94
- Algo: flatter | Updated 150/252 | Mean std_B: 3398.83
- Algo: flatter | Updated 152/252 | Mean std_B: 3423.84
- Algo: flatter | Updated 150/252 | Mean std_B: 3413.40
- Algo: flatter | Updated 151/252 | Mean std_B: 3398.96
- Algo: flatter | Updated 154/252 | Mean std_B: 3439.12
- Algo: flatter | Updated 137/252 | Mean std_B: 3416.48
- Algo: flatter | Updated 146/252 | Mean std_B: 3500.36
- Algo: flatter | Updated 141/252 | Mean std_B: 3391.24
- Algo: flatter | Updated 137/252 | Mean std_B: 3440.50
- Algo: flatter | Updated 160/252 | Mean std_B: 3390.56
- Algo: flatter | Updated 151/252 | Mean std_B: 3380.60
- Algo: flatter | Updated 149/252 | Mean std_B: 3469.21
- Algo: flatter | Updated 135/252 | Mean std_B: 3398.47
- Algo: flatter | Updated 149/252 | Mean std_B: 3417.20
- Algo: flatter | Updated 149/252 | Mean std_B: 3422.10
- Algo: flatter | Updated 121/252 | Mean std_B: 3526.50
- Algo: flatter | Updated 153/252 | Mean std_B: 3458.54
- Algo: flatter | Updated 147/252 | Mean std_B: 3405.67
- Algo: flatter | Updated 153/252 | Mean std_B: 3387.10
- Algo: flatter | Updated 151/252 | Mean std_B: 3428.82
- Algo: flatter | Updated 141/252 | Mean std_B: 3418.84
- Algo: flatter | Updated 132/252 | Mean std_B: 3468.85
- Algo: flatter | Updated 147/252 | Mean std_B: 3488.84
- Algo: flatter | Updated 137/252 | Mean std_B: 3448.85
- Algo: flatter | Updated 139/252 | Mean std_B: 3451.77
- Algo: flatter | Updated 90/252 | Mean std_B: 3437.76
- Algo: flatter | Updated 131/252 | Mean std_B: 3436.85
- Algo: flatter | Updated 133/252 | Mean std_B: 3453.07
- Algo: flatter | Updated 82/252 | Mean std_B: 3397.73
- Algo: flatter | Updated 146/252 | Mean std_B: 3402.28
- Algo: flatter | Updated 139/252 | Mean std_B: 3399.60
- Algo: flatter | Updated 142/252 | Mean std_B: 3433.62
- Algo: flatter | Updated 122/252 | Mean std_B: 3417.69
- Algo: flatter | Updated 142/252 | Mean std_B: 3358.24
- Algo: flatter | Updated 134/252 | Mean std_B: 3412.32
- Algo: flatter | Updated 152/252 | Mean std_B: 3442.53
- Algo: flatter | Updated 142/252 | Mean std_B: 3431.24
- Algo: flatter | Updated 144/252 | Mean std_B: 3393.35
- Algo: flatter | Updated 89/252 | Mean std_B: 3485.06
- Algo: flatter | Updated 148/252 | Mean std_B: 3458.90
- Algo: flatter | Updated 158/252 | Mean std_B: 3439.28
- Algo: flatter | Updated 144/252 | Mean std_B: 3482.96
