Parameters: {'n': 70, 'q': 251, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 150, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:50:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 8, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'tour', 'attack_every': 2, 'save_strategy': 'hour', 'save_every': 12, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 131/131 | Mean std_B: 175.37
- Algo: flatter | Updated 130/130 | Mean std_B: 173.77
- Algo: flatter | Updated 130/130 | Mean std_B: 171.98
- Algo: flatter | Updated 129/129 | Mean std_B: 172.52
- Algo: flatter | Updated 131/131 | Mean std_B: 169.78
- Algo: flatter | Updated 130/130 | Mean std_B: 175.48
- Algo: flatter | Updated 129/129 | Mean std_B: 172.89
- Algo: flatter | Updated 129/129 | Mean std_B: 175.30
- Algo: flatter | Updated 131/131 | Mean std_B: 171.38
- Algo: flatter | Updated 130/130 | Mean std_B: 170.94
- Algo: flatter | Updated 131/131 | Mean std_B: 169.77
- Algo: flatter | Updated 132/132 | Mean std_B: 170.08
- Algo: flatter | Updated 131/131 | Mean std_B: 172.01
- Algo: flatter | Updated 133/133 | Mean std_B: 165.27
- Algo: flatter | Updated 131/131 | Mean std_B: 171.03
- Algo: flatter | Updated 133/133 | Mean std_B: 169.19
- Algo: flatter | Updated 133/133 | Mean std_B: 168.34
- Algo: flatter | Updated 131/131 | Mean std_B: 169.54
- Algo: flatter | Updated 132/132 | Mean std_B: 169.01
- Algo: flatter | Updated 131/131 | Mean std_B: 169.86
- Algo: flatter | Updated 132/132 | Mean std_B: 168.82
- Algo: flatter | Updated 131/131 | Mean std_B: 168.42
- Algo: flatter | Updated 132/132 | Mean std_B: 166.94
- Algo: flatter | Updated 131/131 | Mean std_B: 170.65
- Algo: flatter | Updated 132/132 | Mean std_B: 169.79
