Parameters: {'n': 80, 'q': 113, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 42, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'dual', 'reduction_samples': 0.875, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 160, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100}
Arguments: {'num_attacks': 1, 'attack_strategy': 'no', 'attack_every': 0, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 12, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': None, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 113/113 | Mean std_B: 114.84
- Algo: flatter | Updated 112/112 | Mean std_B: 114.23
- Algo: flatter | Updated 112/112 | Mean std_B: 114.92
- Algo: flatter | Updated 110/110 | Mean std_B: 116.02
- Algo: flatter | Updated 111/111 | Mean std_B: 116.42
- Algo: flatter | Updated 112/112 | Mean std_B: 114.06
- Algo: flatter | Updated 112/112 | Mean std_B: 112.72
- Algo: flatter | Updated 112/112 | Mean std_B: 113.43
- Algo: flatter | Updated 113/113 | Mean std_B: 114.26
- Algo: flatter | Updated 112/112 | Mean std_B: 113.65
- Algo: flatter | Updated 111/111 | Mean std_B: 114.18
- Algo: flatter | Updated 111/111 | Mean std_B: 113.69
- Algo: flatter | Updated 112/112 | Mean std_B: 113.57
- Algo: flatter | Updated 113/113 | Mean std_B: 112.67
- Algo: flatter | Updated 112/112 | Mean std_B: 113.99
- Algo: flatter | Updated 113/113 | Mean std_B: 114.62
- Algo: flatter | Updated 113/113 | Mean std_B: 113.59
- Algo: flatter | Updated 111/111 | Mean std_B: 114.66
- Algo: flatter | Updated 113/113 | Mean std_B: 113.86
- Algo: flatter | Updated 113/113 | Mean std_B: 113.78
- Algo: flatter | Updated 113/113 | Mean std_B: 113.91
- Algo: flatter | Updated 111/111 | Mean std_B: 113.47
- Algo: flatter | Updated 113/113 | Mean std_B: 114.07
- Algo: flatter | Updated 112/112 | Mean std_B: 112.58
- Algo: flatter | Updated 113/113 | Mean std_B: 114.23
- Algo: flatter | Updated 113/113 | Mean std_B: 113.46
- Algo: flatter | Updated 113/113 | Mean std_B: 113.74
- Algo: flatter | Updated 112/112 | Mean std_B: 113.47
- Algo: flatter | Updated 112/112 | Mean std_B: 116.31
- Algo: flatter | Updated 113/113 | Mean std_B: 113.27
- Algo: flatter | Updated 113/113 | Mean std_B: 114.01
- Algo: flatter | Updated 111/111 | Mean std_B: 114.63
- Algo: flatter | Updated 111/111 | Mean std_B: 115.54
- Algo: flatter | Updated 112/112 | Mean std_B: 116.34
- Algo: flatter | Updated 113/113 | Mean std_B: 113.56
- Algo: flatter | Updated 113/113 | Mean std_B: 113.99
- Algo: flatter | Updated 113/113 | Mean std_B: 113.80
- Algo: flatter | Updated 113/113 | Mean std_B: 113.27
- Algo: flatter | Updated 112/112 | Mean std_B: 113.51
- Algo: flatter | Updated 112/112 | Mean std_B: 114.25
- Algo: flatter | Updated 113/113 | Mean std_B: 112.04
- Algo: flatter | Updated 113/113 | Mean std_B: 113.54
- Algo: flatter | Updated 113/113 | Mean std_B: 113.82
- Algo: flatter | Updated 113/113 | Mean std_B: 114.05
- Algo: flatter | Updated 112/112 | Mean std_B: 114.07
- Algo: flatter | Updated 112/112 | Mean std_B: 113.19
- Algo: flatter | Updated 113/113 | Mean std_B: 112.41
- Algo: flatter | Updated 113/113 | Mean std_B: 113.31
- Algo: flatter | Updated 113/113 | Mean std_B: 112.27
- Algo: flatter | Updated 113/113 | Mean std_B: 112.33
- Algo: flatter | Updated 113/113 | Mean std_B: 113.65
- Algo: flatter | Updated 113/113 | Mean std_B: 114.14
- Algo: flatter | Updated 113/113 | Mean std_B: 113.02
- Algo: flatter | Updated 113/113 | Mean std_B: 112.77
- Algo: flatter | Updated 112/112 | Mean std_B: 113.28
- Algo: flatter | Updated 113/113 | Mean std_B: 113.77
- Algo: flatter | Updated 113/113 | Mean std_B: 112.59
- Algo: flatter | Updated 113/113 | Mean std_B: 112.26
- Algo: flatter | Updated 112/112 | Mean std_B: 114.52
- Algo: flatter | Updated 113/113 | Mean std_B: 113.02
- Algo: flatter | Updated 113/113 | Mean std_B: 113.00
- Algo: flatter | Updated 113/113 | Mean std_B: 113.70
- Algo: flatter | Updated 113/113 | Mean std_B: 112.54
Tour 1 | Time: 13.84s | Mean std_B: 113.77 | Reduction Factor: 0.7479 | Prob: 0.3805
- Algo: flatter | Updated 17/113 | Mean std_B: 113.13
- Algo: flatter | Updated 25/112 | Mean std_B: 113.67
- Algo: flatter | Updated 14/110 | Mean std_B: 115.39
- Algo: flatter | Updated 35/113 | Mean std_B: 112.88
- Algo: flatter | Updated 14/113 | Mean std_B: 111.85
- Algo: flatter | Updated 17/113 | Mean std_B: 113.06
- Algo: flatter | Updated 79/113 | Mean std_B: 112.89
