Parameters: {'n': 90, 'q': 251, 'k': 1, 'secret_type': 'binary', 'eta': 2, 'gaussian_std': 3, 'hw': -1, 'error_type': 'gaussian', 'num_gen': 4, 'add_noise': True, 'mod_q': True, 'seed': 0, 'approximation_std': 3, 'approximation_threshold': 0.01, 'save_to': '../data', 'float_type': 'd', 'matrix_config': 'salsa', 'reduction_samples': None, 'reduction_resampling': True, 'min_samples': None, 'num_matrices': 63, 'reduction_max_size': 220, 'lookback': 3, 'warmup_steps': 5, 'flatter_alpha': 0.001, 'bkz_delta': 0.99, 'bkz_block_sizes': '20:40:10', 'use_polish': True, 'interleaved_steps': 0, 'penalty': 10, 'verbose': True, 'train_percentages': [0.1, 0.3, 0.6, 1.0], 'model': 'tukey', 'lr': 0.0001, 'c_factor': 1.0, 'epsilon': 1.1, 'max_iter': 15000, 'alpha': 0.0001, 'warm_start': False, 'fit_intercept': False, 'tol': 0.001, 'use_ransac': False, 'residual_factor': 1.5, 'max_trials': 100, 'reduction_factor': None}
Arguments: {'num_attacks': 1, 'attack_strategy': 'hour', 'attack_every': 5, 'save_strategy': 'no', 'save_every': 0, 'stop_strategy': 'hour', 'stop_after': 40, 'save_at_the_end': True, 'reload': False, 'reload_from': None, 'train_secret_types': ['binary'], 'reload_from_salsa': 1.0, 'num_training_repeats': 10, 'hw_range': None}
Attacking 63 matrices using 64 threads.
- Algo: flatter | Updated 62/62 | Mean std_B: 353.92
- Algo: flatter | Updated 62/62 | Mean std_B: 353.26
- Algo: flatter | Updated 62/62 | Mean std_B: 353.13
- Algo: flatter | Updated 62/62 | Mean std_B: 353.31
- Algo: flatter | Updated 62/62 | Mean std_B: 353.52
- Algo: flatter | Updated 62/62 | Mean std_B: 353.67
- Algo: flatter | Updated 62/62 | Mean std_B: 353.81
- Algo: flatter | Updated 62/62 | Mean std_B: 353.43
- Algo: flatter | Updated 62/62 | Mean std_B: 353.37
- Algo: flatter | Updated 62/62 | Mean std_B: 353.49
- Algo: flatter | Updated 62/62 | Mean std_B: 353.56
- Algo: flatter | Updated 62/62 | Mean std_B: 353.47
- Algo: flatter | Updated 62/62 | Mean std_B: 353.37
- Algo: flatter | Updated 62/62 | Mean std_B: 353.31
- Algo: flatter | Updated 62/62 | Mean std_B: 353.38
- Algo: flatter | Updated 62/62 | Mean std_B: 353.47
- Algo: flatter | Updated 62/62 | Mean std_B: 353.28
- Algo: flatter | Updated 62/62 | Mean std_B: 353.59
- Algo: flatter | Updated 62/62 | Mean std_B: 353.13
- Algo: flatter | Updated 62/62 | Mean std_B: 353.96
- Algo: flatter | Updated 62/62 | Mean std_B: 353.65
- Algo: flatter | Updated 62/62 | Mean std_B: 353.10
- Algo: flatter | Updated 62/62 | Mean std_B: 353.40
- Algo: flatter | Updated 62/62 | Mean std_B: 353.21
- Algo: flatter | Updated 62/62 | Mean std_B: 352.93
- Algo: flatter | Updated 62/62 | Mean std_B: 353.38
- Algo: flatter | Updated 62/62 | Mean std_B: 353.14- Algo: flatter | Updated 62/62 | Mean std_B: 353.43

- Algo: flatter | Updated 62/62 | Mean std_B: 353.39
- Algo: flatter | Updated 62/62 | Mean std_B: 353.34
- Algo: flatter | Updated 62/62 | Mean std_B: 352.62
- Algo: flatter | Updated 62/62 | Mean std_B: 352.95
- Algo: flatter | Updated 62/62 | Mean std_B: 353.22
- Algo: flatter | Updated 62/62 | Mean std_B: 353.19
- Algo: flatter | Updated 62/62 | Mean std_B: 353.22
- Algo: flatter | Updated 62/62 | Mean std_B: 353.28
- Algo: flatter | Updated 62/62 | Mean std_B: 353.32
- Algo: flatter | Updated 62/62 | Mean std_B: 353.89
- Algo: flatter | Updated 62/62 | Mean std_B: 353.19
- Algo: flatter | Updated 62/62 | Mean std_B: 353.19
- Algo: flatter | Updated 62/62 | Mean std_B: 353.39
- Algo: flatter | Updated 62/62 | Mean std_B: 353.20
- Algo: flatter | Updated 62/62 | Mean std_B: 353.36
- Algo: flatter | Updated 62/62 | Mean std_B: 353.51
- Algo: flatter | Updated 62/62 | Mean std_B: 353.12
- Algo: flatter | Updated 62/62 | Mean std_B: 353.89
- Algo: flatter | Updated 62/62 | Mean std_B: 353.51
- Algo: flatter | Updated 62/62 | Mean std_B: 353.12
- Algo: flatter | Updated 62/62 | Mean std_B: 353.60
- Algo: flatter | Updated 62/62 | Mean std_B: 353.51
- Algo: flatter | Updated 62/62 | Mean std_B: 353.29
- Algo: flatter | Updated 62/62 | Mean std_B: 352.71
- Algo: flatter | Updated 62/62 | Mean std_B: 353.78
- Algo: flatter | Updated 62/62 | Mean std_B: 353.02
- Algo: flatter | Updated 62/62 | Mean std_B: 353.37
- Algo: flatter | Updated 62/62 | Mean std_B: 353.43
- Algo: flatter | Updated 62/62 | Mean std_B: 353.23
- Algo: flatter | Updated 62/62 | Mean std_B: 353.53
- Algo: flatter | Updated 62/62 | Mean std_B: 352.87
- Algo: flatter | Updated 62/62 | Mean std_B: 353.58
- Algo: flatter | Updated 62/62 | Mean std_B: 352.78
- Algo: flatter | Updated 62/62 | Mean std_B: 353.56
- Algo: flatter | Updated 62/62 | Mean std_B: 353.02
Tour 1 | Time: 2.68s | Mean std_B: 353.35 | Reduction Factor: 1.0000 | Prob: 0.2775
- Algo: flatter | Updated 0/62 | Mean std_B: 353.22
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 352.93
- Algo: flatter | Updated 0/62 | Mean std_B: 352.62
- Algo: flatter | Updated 0/62 | Mean std_B: 353.60
- Algo: flatter | Updated 0/62 | Mean std_B: 353.13
- Algo: flatter | Updated 0/62 | Mean std_B: 353.02
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.28
- Algo: flatter | Updated 0/62 | Mean std_B: 353.39
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.40
- Algo: flatter | Updated 0/62 | Mean std_B: 353.38
- Algo: flatter | Updated 0/62 | Mean std_B: 353.14
- Algo: flatter | Updated 0/62 | Mean std_B: 353.58
- Algo: flatter | Updated 0/62 | Mean std_B: 353.10
- Algo: flatter | Updated 0/62 | Mean std_B: 353.56
- Algo: flatter | Updated 0/62 | Mean std_B: 353.52
- Algo: flatter | Updated 0/62 | Mean std_B: 353.89
- Algo: flatter | Updated 0/62 | Mean std_B: 353.59
- Algo: flatter | Updated 0/62 | Mean std_B: 353.49
- Algo: flatter | Updated 0/62 | Mean std_B: 353.38
- Algo: flatter | Updated 0/62 | Mean std_B: 353.02
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.20
- Algo: flatter | Updated 0/62 | Mean std_B: 353.81
- Algo: flatter | Updated 0/62 | Mean std_B: 353.22
- Algo: flatter | Updated 0/62 | Mean std_B: 352.78
- Algo: flatter | Updated 0/62 | Mean std_B: 353.78
- Algo: flatter | Updated 0/62 | Mean std_B: 353.21
- Algo: flatter | Updated 0/62 | Mean std_B: 353.31
- Algo: flatter | Updated 0/62 | Mean std_B: 353.96
- Algo: flatter | Updated 0/62 | Mean std_B: 353.56
- Algo: flatter | Updated 0/62 | Mean std_B: 353.53
- Algo: flatter | Updated 0/62 | Mean std_B: 353.12
- Algo: flatter | Updated 0/62 | Mean std_B: 353.12
- Algo: flatter | Updated 0/62 | Mean std_B: 353.31
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.92
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.47
- Algo: flatter | Updated 0/62 | Mean std_B: 353.29
- Algo: flatter | Updated 0/62 | Mean std_B: 353.28
- Algo: flatter | Updated 0/62 | Mean std_B: 353.13
- Algo: flatter | Updated 0/62 | Mean std_B: 353.26
- Algo: flatter | Updated 0/62 | Mean std_B: 353.47
- Algo: flatter | Updated 0/62 | Mean std_B: 353.65
- Algo: flatter | Updated 0/62 | Mean std_B: 353.39
- Algo: flatter | Updated 0/62 | Mean std_B: 353.36
- Algo: flatter | Updated 0/62 | Mean std_B: 352.87
- Algo: flatter | Updated 0/62 | Mean std_B: 353.89
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 353.67
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 352.71
- Algo: flatter | Updated 0/62 | Mean std_B: 353.32
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.34
- Algo: flatter | Updated 0/62 | Mean std_B: 352.95
- Algo: flatter | Updated 0/62 | Mean std_B: 353.23
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.22
- Algo: flatter | Updated 0/62 | Mean std_B: 353.38
- Algo: flatter | Updated 0/62 | Mean std_B: 353.13
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.38
- Algo: flatter | Updated 0/62 | Mean std_B: 353.56
- Algo: flatter | Updated 0/62 | Mean std_B: 352.93
- Algo: flatter | Updated 0/62 | Mean std_B: 353.40
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.26
- Algo: flatter | Updated 0/62 | Mean std_B: 353.28
- Algo: flatter | Updated 0/62 | Mean std_B: 353.52
- Algo: flatter | Updated 0/62 | Mean std_B: 353.81
- Algo: flatter | Updated 0/62 | Mean std_B: 353.39
- Algo: flatter | Updated 0/62 | Mean std_B: 353.60
- Algo: flatter | Updated 0/62 | Mean std_B: 353.14
- Algo: flatter | Updated 0/62 | Mean std_B: 353.49
- Algo: flatter | Updated 0/62 | Mean std_B: 353.58
- Algo: flatter | Updated 0/62 | Mean std_B: 353.22
- Algo: flatter | Updated 0/62 | Mean std_B: 353.53
- Algo: flatter | Updated 0/62 | Mean std_B: 353.65
- Algo: flatter | Updated 0/62 | Mean std_B: 353.78
- Algo: flatter | Updated 0/62 | Mean std_B: 353.29
- Algo: flatter | Updated 0/62 | Mean std_B: 353.59
- Algo: flatter | Updated 0/62 | Mean std_B: 353.12
- Algo: flatter | Updated 0/62 | Mean std_B: 353.02
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.02
- Algo: flatter | Updated 0/62 | Mean std_B: 353.89
- Algo: flatter | Updated 0/62 | Mean std_B: 353.12
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.10
- Algo: flatter | Updated 0/62 | Mean std_B: 353.28
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 352.87
- Algo: flatter | Updated 0/62 | Mean std_B: 353.36
- Algo: flatter | Updated 0/62 | Mean std_B: 353.56
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 353.20
- Algo: flatter | Updated 0/62 | Mean std_B: 353.96
- Algo: flatter | Updated 0/62 | Mean std_B: 353.89
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 352.62
- Algo: flatter | Updated 0/62 | Mean std_B: 353.92
- Algo: flatter | Updated 0/62 | Mean std_B: 353.39
- Algo: flatter | Updated 0/62 | Mean std_B: 353.21
- Algo: flatter | Updated 0/62 | Mean std_B: 352.71
- Algo: flatter | Updated 0/62 | Mean std_B: 353.31
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 353.23
- Algo: flatter | Updated 0/62 | Mean std_B: 353.31
- Algo: flatter | Updated 0/62 | Mean std_B: 352.95
- Algo: flatter | Updated 0/62 | Mean std_B: 353.67
- Algo: flatter | Updated 0/62 | Mean std_B: 353.47
- Algo: flatter | Updated 0/62 | Mean std_B: 353.13
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.32
- Algo: flatter | Updated 0/62 | Mean std_B: 353.47
- Algo: flatter | Updated 0/62 | Mean std_B: 352.78
- Algo: flatter | Updated 0/62 | Mean std_B: 353.34
Tour 2 | Time: 4.35s | Mean std_B: 353.35 | Reduction Factor: 1.0000 | Prob: 0.2775
- Algo: flatter | Updated 0/62 | Mean std_B: 353.31
- Algo: flatter | Updated 0/62 | Mean std_B: 353.58
- Algo: flatter | Updated 0/62 | Mean std_B: 353.59
- Algo: flatter | Updated 0/62 | Mean std_B: 353.13
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 352.62
- Algo: flatter | Updated 0/62 | Mean std_B: 353.47
- Algo: flatter | Updated 0/62 | Mean std_B: 353.22
- Algo: flatter | Updated 0/62 | Mean std_B: 353.39
- Algo: flatter | Updated 0/62 | Mean std_B: 353.02
- Algo: flatter | Updated 0/62 | Mean std_B: 353.40
- Algo: flatter | Updated 0/62 | Mean std_B: 353.60
- Algo: flatter | Updated 0/62 | Mean std_B: 353.28
- Algo: flatter | Updated 0/62 | Mean std_B: 353.38
- Algo: flatter | Updated 0/62 | Mean std_B: 353.81
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.89
- Algo: flatter | Updated 0/62 | Mean std_B: 353.56
- Algo: flatter | Updated 0/62 | Mean std_B: 353.10
- Algo: flatter | Updated 0/62 | Mean std_B: 353.52
- Algo: flatter | Updated 0/62 | Mean std_B: 353.13
- Algo: flatter | Updated 0/62 | Mean std_B: 353.12
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.39
- Algo: flatter | Updated 0/62 | Mean std_B: 353.38
- Algo: flatter | Updated 0/62 | Mean std_B: 352.78
- Algo: flatter | Updated 0/62 | Mean std_B: 353.49
- Algo: flatter | Updated 0/62 | Mean std_B: 353.56
- Algo: flatter | Updated 0/62 | Mean std_B: 353.21
- Algo: flatter | Updated 0/62 | Mean std_B: 353.02
- Algo: flatter | Updated 0/62 | Mean std_B: 353.14
- Algo: flatter | Updated 0/62 | Mean std_B: 353.34
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.29
- Algo: flatter | Updated 0/62 | Mean std_B: 353.20
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 353.92
- Algo: flatter | Updated 0/62 | Mean std_B: 353.28
- Algo: flatter | Updated 0/62 | Mean std_B: 353.78
- Algo: flatter | Updated 0/62 | Mean std_B: 353.22
- Algo: flatter | Updated 0/62 | Mean std_B: 353.23
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.36
- Algo: flatter | Updated 0/62 | Mean std_B: 353.65
- Algo: flatter | Updated 0/62 | Mean std_B: 353.47
- Algo: flatter | Updated 0/62 | Mean std_B: 353.53
- Algo: flatter | Updated 0/62 | Mean std_B: 353.96
- Algo: flatter | Updated 0/62 | Mean std_B: 353.32
- Algo: flatter | Updated 0/62 | Mean std_B: 352.95
- Algo: flatter | Updated 0/62 | Mean std_B: 353.37
- Algo: flatter | Updated 0/62 | Mean std_B: 353.26
- Algo: flatter | Updated 0/62 | Mean std_B: 353.67
- Algo: flatter | Updated 0/62 | Mean std_B: 353.19
- Algo: flatter | Updated 0/62 | Mean std_B: 353.43
- Algo: flatter | Updated 0/62 | Mean std_B: 353.31
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: flatter | Updated 0/62 | Mean std_B: 352.87
- Algo: flatter | Updated 0/62 | Mean std_B: 352.93
- Algo: flatter | Updated 0/62 | Mean std_B: 353.89
- Algo: flatter | Updated 0/62 | Mean std_B: 353.12
- Algo: flatter | Updated 0/62 | Mean std_B: 352.71
- Algo: flatter | Updated 0/62 | Mean std_B: 353.51
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.10
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.31
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.38
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.60
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.39
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.13
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.47
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.28
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.59
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 352.78
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.37
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.39
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.47
- Algo: bkz2.0_20 | Updated 0/62 | Mean std_B: 353.02
